BATHRM,HF_BATHRM,HEAT,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STRUCT,GRADE,CNDTN,EXTWALL,ROOF,INTWALL,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,SOURCE,CMPLX_NUM,LIVING_GBA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_NBHD,ASSESSMENT_SUBNBHD,CENSUS_TRACT,CENSUS_BLOCK,WARD,SQUARE,X,Y,QUADRANT
3,1,Forced Air,Y,1.0,8,4,1935.0,2009.0,1969,2.0,2016-08-04 00:00:00,830000.0,Q,2,2448.0,1,2 Story,Single,Good Quality,Good,Brick/Siding,Slate,Hardwood,1.0,2,12,5000,2018-07-22 18:01:43,Residential,,,1509 KALMIA ROAD NW,WASHINGTON,DC,20012.0,18S UJ 23728 17154,38.98564789,-77.03516863,Shepherd Heights,,1600.0,001600 1012,Ward 4,2770.0,-77.03488809179201,38.986165768120046,NW
3,1,Warm Cool,Y,2.0,9,4,1909.0,2007.0,1969,2.0,2013-07-03 00:00:00,670000.0,Q,1,1506.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Metal- Sms,Hardwood,2.0,1,24,1310,2018-07-22 18:01:43,Residential,,,1529 A STREET NE,WASHINGTON,DC,20002.0,18S UJ 28060 06519,38.89072733,-76.98250317,Old City 1,039 G Old City 1,8002.0,008002 1012,Ward 6,1070.0,-76.98286411889862,38.89041311273155,NE
1,1,Hot Water Rad,Y,1.0,6,2,1908.0,2011.0,1969,2.0,2011-09-06 00:00:00,639900.0,Q,1,1636.0,1,2 Story,Row Inside,Good Quality,Good,Common Brick,Built Up,Hardwood,1.0,1,11,1312,2018-07-22 18:01:43,Residential,,,1512 E STREET SE,WASHINGTON,DC,20003.0,18S UJ 27988 05664,38.88301913,-76.98312409,Old City 1,039 B Old City 1,6802.0,006802 2003,Ward 6,1075.0,-76.98306836277428,38.883463392260154,SE
1,2,Warm Cool,Y,1.0,7,2,1954.0,2012.0,1974,3.0,2006-07-07 00:00:00,880000.0,Q,1,1820.0,1,3 Story,Row Inside,Above Average,Good,Common Brick,Built Up,Hardwood,1.0,1,11,691,2018-07-22 18:01:43,Residential,,,912 25TH STREET NW,WASHINGTON,DC,20037.0,18S UJ 21925 07800,38.90104113,-77.05353264,Foggy Bottom,,5600.0,005600 1008,Ward 2,16.0,-77.05414830104303,38.901216496416346,NW
1,0,Ht Pump,Y,,4,2,1925.0,1984.0,1925,,2005-09-09 00:00:00,70000.0,U,1,,1,,,,,,,,,0,16,638,2018-07-22 18:01:38,Condominium,2284.0,941.0,,,,20001.0,,38.90649927,-77.01070018,Old City 2,040 A Old City 2,4701.0,,Ward 6,619.0,-77.01070245685614,38.90650672248679,NW
2,0,Ht Pump,Y,,4,1,2000.0,,1900,,2001-06-07 00:00:00,,U,1,,1,,,,,,,,,0,17,159,2018-07-22 18:01:38,Condominium,1313.0,1147.0,,,,20037.0,,38.9047162,-77.04944216,Central-tri 1,,5500.0,,Ward 2,51.0,-77.04944445595534,38.90472365301228,NW
1,0,Ht Pump,Y,,3,1,1954.0,1982.0,1954,,2012-01-31 00:00:00,,U,1,,1,,,,,,,,,0,16,721,2018-07-22 18:01:38,Condominium,2407.0,537.0,,,,20007.0,,38.9202441,-77.0751272,Glover Park,,300.0,,Ward 3,1301.0,-77.07512949882778,38.92025155961024,NW
1,0,Ht Pump,Y,,4,1,1942.0,1982.0,1942,,1993-05-07 00:00:00,167000.0,U,1,,1,,,,,,,,,0,16,1564,2018-07-22 18:01:38,Condominium,1066.0,1175.0,,,,20016.0,,38.93690265,-77.07824168,Cleveland Park,,1002.0,,Ward 3,1798.0,-77.07824397947405,38.93691011131881,NW
3,0,Forced Air,Y,1.0,8,4,1927.0,2009.0,1967,2.0,2015-06-15 00:00:00,779000.0,Q,7,1358.0,1,2 Story,Row End,Above Average,Good,Common Brick,Neopren,Hardwood/Carp,1.0,0,12,1025,2018-07-22 18:01:43,Residential,,,534 13TH STREET NE,WASHINGTON,DC,20002.0,18S UJ 27553 07217,38.89692079,-76.98852164,Old City 1,039 K Old City 1,8001.0,008001 2003,Ward 6,1007.0,-76.98916408385527,38.89688761162385,NE
2,0,Hot Water Rad,N,2.0,5,2,1939.0,,1954,2.0,,,U,1,1260.0,1,2 Story,Row Inside,Average,Good,Common Brick,Built Up,Hardwood,2.0,0,24,1516,2018-07-22 18:01:43,Residential,,,4014 7TH STREET NE,WASHINGTON,DC,20017.0,18S UJ 27033 11985,38.93975795,-76.99571893,Brookland,007 C Brookland,9504.0,009504 1005,Ward 5,3820.0,-76.99517801397671,38.938291809077775,NE
